# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.005887715540196133,0,3.0,0.0168541794995631,0.0,0.0,0.0
 0.08953867614526718,1.0120257617252768,3.000001235767539,0.005887715540196133,0.2686160284358015,2.9999999999999996,0.0168541794995631,0.0,0.31264806937531414,0.0
 0.1267617444769342,1.0241028091657924,3.000004929853391,0.01752543599031722,0.3802852334308025,2.9999999999999987,0.01650723044072885,0.0,0.3994814971274113,0.0
 0.15541511702002253,1.0362307857185737,3.000011062432409,0.028971928151579607,0.46624535106006754,3.000000000000001,0.016168561934993823,0.0,0.4646301432876778,0.0
 0.17964657889265434,1.0484093347806485,3.000019613679444,0.040230595753530426,0.5389397366779629,2.999999999999998,0.01583791211098798,0.0,0.5171426622763192,0.0
 0.20106070365722034,1.0606380997490439,3.0000305637693496,0.051304753244595346,0.603182110971661,3.0000000000000027,0.015515030359154582,0.0,0.5609481399360999,0.0
 0.22047938881624568,1.072916724020787,3.000043892876977,0.06219762856455536,0.661438166448737,3.0,0.01519967542438067,0.0,0.5982251600110904,0.0
 0.23839026587154102,1.0852448509929056,3.0000595811771795,0.07291236585689838,0.715170797614623,2.9999999999999987,0.014891613422888254,0.0,0.6303481440268266,0.0
 0.2551106485321519,1.0976221240624269,3.0000776088448085,0.08345202803443276,0.7653319455964556,3.0000000000000018,0.014590620764072172,0.0,0.6582581162853677,0.0
 0.2708606575524003,1.110048186626378,3.000097956054717,0.09381959930357904,0.812581972657201,3.0000000000000107,0.014296481710838494,0.0,0.6826371128751076,0.0
 0.28580034957670003,1.1225226820817864,3.000120602981757,0.10401798753429028,0.8574010487301003,3.0000000000000036,0.014008986845417584,0.0,0.7040006633959442,0.0
 0.3000503916346583,1.1350452538256792,3.000145529800781,0.11405002659651302,0.900151174903975,2.999999999999996,0.013727936078383374,0.0,0.7227512065119197,0.0
 0.31370440131784877,1.1476155452550842,3.0001727166866408,0.12391847856876435,0.9411132039535464,2.999999999999996,0.013453134605452822,0.0,0.7392110132715698,0.0
 0.32683672369796357,1.1602331997670285,3.0002021438141897,0.13362603590197794,0.9805101710938907,2.9999999999999956,0.01318439543621871,0.0,0.7536435328340045,0.0
 0.3395075516780934,1.1728978607585392,3.0002337913582795,0.14317532346485493,1.01852265503428,2.9999999999999956,0.012921538395363289,0.0,0.7662678222117815,0.0
 0.35176642098957334,1.185609171626644,3.000267639493762,0.15256890055494152,1.0552992629687201,3.0000000000000138,0.012664390144964528,0.0,0.7772686322343892,0.0
 0.36365466899259447,1.1983667757683698,3.0003036683954902,0.16180926281991295,1.0909640069777835,3.0,0.012412781544412244,0.0,0.7868036644168359,0.0
 0.37520720958595344,1.2111703165807444,3.000341858238316,0.17089884409209202,1.1256216287578604,3.0,0.01216654974061889,0.0,0.7950089269033627,0.0
 0.3864538431804714,1.224019437460795,3.0003821891970923,0.17984001819734505,1.1593615295414144,3.0000000000000098,0.011925539298144706,0.0,0.8020027628157423,0.0
 0.39742024238925233,1.2369137818055485,3.0004246414466706,0.18863510066092776,1.1922607271677572,3.0,0.011689597346800102,0.0,0.8078889467494784,0.0
 0.40812870641786625,1.2498529930120326,3.000469195161904,0.19728635038630932,1.224386119253599,3.0,0.011458578471771605,0.0,0.8127590948798346,0.0
 0.41859874718848356,1.2628367144772747,3.000515830517644,0.2057959712463912,1.2557962415654509,3.0,0.01123234147660525,0.0,0.8166945761367164,0.0
 0.42884755088916826,1.2758645895983023,3.0005645276887436,0.21416611364063032,1.286542652667505,3.0,0.011010747667395272,0.0,0.8197680417159092,0.0
 0.4388903458373156,1.2889362617721423,3.0006152668500548,0.2223988759886275,1.316671037511947,2.9999999999999947,0.010793666490959395,0.0,0.8220446663854315,0.0
 0.4487406988858962,1.302051374395822,3.0006680281764297,0.23049630617422662,1.3462220966576885,2.999999999999983,0.010580969373644273,0.0,0.8235831658384302,0.0
 0.45841075662669734,1.3152095708663691,3.0007227918427213,0.23846040294223605,1.375232269880092,3.0000000000000058,0.01037253371377876,0.0,0.8244366372357854,0.0
 0.4679114434495205,1.3284104945808108,3.000779538023781,0.24629311723787473,1.4037343303485617,3.0000000000000058,0.010168238272859238,0.0,0.824653263965196,0.0
 0.47725262552268344,1.3416537889361744,3.0008382468944625,0.25399635352380173,1.4317578765680505,3.000000000000012,0.009967968429861477,0.0,0.824276902408635,0.0
 0.48644324759245355,1.354939097329487,3.000898898629617,0.26157197101468027,1.459329742777361,3.000000000000018,0.009771610924107709,0.0,0.823347587918002,0.0
 0.4954914479081457,1.3682660631577765,3.0009614734040966,0.2690217849196043,1.4864743437244374,2.999999999999994,0.009579057409811758,0.0,0.821901956738195,0.0
 0.5044046553975421,1.3816343298180696,3.001025951392754,0.27634756759595275,1.5132139661926267,3.0000000000000124,0.009390203321147044,0.0,0.8199736160990501,0.0
 0.513189672328936,1.395043540707394,3.0010923127704423,0.28355104969667916,1.5395690169868081,2.9999999999999747,0.009204947293416133,0.0,0.8175934581266833,0.0
 0.5218527450213811,1.408493339222777,3.0011605377120123,0.2906339212572982,1.5655582350641435,2.999999999999987,0.009023189294722608,0.0,0.8147899383592746,0.0
 0.5303996246472652,1.4219833687612458,3.0012306063923178,0.29759783278083646,1.5911988739417957,3.0,0.00884483500278634,0.0,0.8115893084458675,0.0
